RIESGO;DESTINOCREDITO;SITUACIONLABORAL;MONTODELCREDITO;NCUOTAS;INGRESOS;ESTADOCIVIL;SEXO;CODEUDOR;CASAPROPIA;EDAD;INGRESOSCONYUGUE;ESTRATO
0;1;0;510000;12;1500000;1;1;0;1;50;600000;3
1;1;1;3030000;48;3900000;0;0;1;1;58;0;4
1;1;0;3640000;60;700000;1;1;0;1;45;0;2
0;1;0;210000;6;1500000;1;1;0;1;50;0;4
1;1;0;2480000;48;1500000;1;0;1;0;37;1000000;4
0;1;0;2480000;36;4000000;0;1;0;1;49;0;3
1;1;0;3030000;40;2500000;0;1;0;1;26;0;4
0;1;1;410000;36;2300000;1;1;1;1;37;0;2
0;1;0;1700000;12;2500000;0;0;0;1;60;0;3
0;1;0;1710000;12;3000000;1;0;0;1;48;800000;4
0;1;0;1810000;12;2500000;1;0;0;1;45;700000;5
1;1;1;1210000;12;2000000;1;0;1;1;32;500000;3
0;1;0;1010000;12;2000000;0;0;1;1;60;2000000;3
0;1;0;1010000;12;2000000;1;1;1;1;54;2000000;3
1;1;0;1510000;48;2500000;1;1;1;0;38;0;3
0;1;0;1540000;36;2000000;0;0;0;1;59;500000;3
0;1;0;1260000;36;2000000;0;1;1;0;42;0;3
0;1;1;1010000;36;1900000;1;1;1;0;36;500000;2
0;1;0;1510000;36;1500000;0;1;1;0;40;0;3
1;1;1;3520000;48;2300000;1;1;1;0;52;0;3
0;1;0;1210000;36;1500000;1;1;1;0;69;0;3
0;1;0;1780000;36;1500000;1;0;1;0;54;0;3
0;1;0;310000;12;1500000;1;0;0;1;32;0;3
1;1;0;2520000;48;1500000;1;1;0;1;28;1200000;3
1;1;0;3020000;48;1500000;0;1;0;1;45;0;3
1;1;0;2920000;48;1500000;0;0;1;0;33;0;3
0;1;1;1350000;24;1900000;0;1;1;1;39;0;3
1;1;1;2520000;48;2400000;1;0;1;0;40;1000000;3
1;1;0;4230000;48;1500000;0;0;1;0;41;0;3
1;1;0;3230000;48;1500000;1;1;1;0;29;0;3
0;1;0;780000;24;1500000;0;1;1;0;27;0;3
0;1;0;950000;36;1500000;0;1;1;0;56;0;3
1;1;0;1980000;48;1500000;0;1;0;1;43;0;3
1;1;0;2420000;48;1500000;0;1;0;1;19;0;3
0;1;0;1420000;36;1500000;0;1;1;0;73;0;2
0;1;0;1310000;36;1500000;1;1;0;1;52;2100000;2
0;1;0;1650000;36;1500000;0;1;1;0;43;0;2
1;1;0;5100000;60;1500000;1;1;1;0;36;0;3
1;1;1;1820000;48;3400000;1;0;1;0;65;700000;2
1;1;0;2020000;48;1500000;0;1;1;0;32;0;3
1;1;0;2620000;48;1500000;0;0;0;1;41;0;3
0;1;1;1310000;36;2600000;1;1;1;0;31;0;3
0;1;1;1010000;36;2000000;1;1;1;0;24;500000;2
1;1;0;1510000;48;1500000;0;1;1;0;29;0;3
0;0;0;513500;36;1500000;0;1;1;0;25;0;3
1;0;1;360000;36;500000;0;1;1;0;23;0;3
1;0;1;430000;36;650000;0;1;1;0;31;0;2
1;0;1;280000;36;400000;0;1;1;0;36;0;2
1;0;1;340000;36;600000;0;0;1;0;24;0;3
0;0;1;380000;36;1200000;0;0;1;1;28;0;4
